test_name,domain,system_type,success,r2_score,expression,validation_score,total_time,llm_mode,discovery_engine,extrap_near,extrap_medium,extrap_far,extrap_r2_near,extrap_r2_medium,extrap_r2_far,source_file
biology_allometric_scaling,biology,System_3_LLM_Fallback,True,1.0,a * M**b,91.3,10.929174184799194,hybrid_llm_only,symbolic,,,,,,,biology_allometric_scaling.json
biology_logistic_growth,biology,System_3_LLM_Fallback,True,1.0,r * N * (1 - N/K),98.5,7.889767646789551,hybrid_llm_only,symbolic,,,,,,,biology_logistic_growth.json
biology_michaelis_menten,biology,System_3_LLM_Fallback,True,1.0,(Vmax * S) / (Km + S),91.0,7.806425333023071,hybrid_llm_only,symbolic,,,,,,,biology_michaelis_menten.json
chemistry_arrhenius_equation,chemistry,System_2_Symbolic,True,0.9993928286734529,(((-0.48022532 / (956.3683 / T)) + (((R * 0.21768646) / (394.0396 - T)) - -0.21969643)) / (27.26762 / T)) - 0.972829,39.0,268.9988434314728,hybrid_pysr_refined,symbolic,,,,,,,chemistry_arrhenius_equation.json
chemistry_henderson_hasselbalch,chemistry,System_2_Symbolic,True,0.9998160344554585,pKa - ((((0.79601145 / ((0.47598812 - (HA / -0.08680189)) * (A_minus + 0.042786133))) + ((HA + A_minus) * -0.40726423)) + 1.0750967) * (HA - A_minus)),65.3,368.8835566043854,hybrid_pysr_refined,symbolic,,,,,,,chemistry_henderson_hasselbalch.json
economics_break_even_point,economics,System_3_LLM_Fallback,True,1.0,FC / (P - VC),91.0,8.150683879852295,hybrid_llm_only,symbolic,,,,,,,economics_break_even_point.json
economics_cobb_douglas,economics,System_3_LLM_Fallback,True,1.0,A * K**alpha * L**beta,91.3,8.329915285110474,hybrid_llm_only,symbolic,,,,,,,economics_cobb_douglas.json
economics_elasticity_demand,economics,System_3_LLM_Fallback,True,1.0,(delta_Q / Q) / (delta_P / P),97.6,7.68089485168457,hybrid_llm_only,symbolic,,,,,,,economics_elasticity_demand.json
electromagnetism_coulomb_law,electromagnetism,System_3_LLM_Fallback,True,1.0,k * q1 * q2 / r**2,91.3,10.859328269958496,hybrid_llm_only,symbolic,,,,,,,electromagnetism_coulomb_law.json
electromagnetism_lorentz_force,electromagnetism,System_3_LLM_Fallback,True,1.0,q * v * B,100.0,7.495777606964111,hybrid_llm_only,symbolic,,,,,,,electromagnetism_lorentz_force.json
electromagnetism_ohms_law,electromagnetism,System_3_LLM_Fallback,True,1.0,I * R,100.0,7.049860000610352,hybrid_llm_only,symbolic,,,,,,,electromagnetism_ohms_law.json
fluid_dynamics_bernoulli_equation,fluid_dynamics,System_3_LLM_Fallback,True,1.0,P + 0.5 * rho * v**2 + rho * g * h,91.3,8.710683345794678,hybrid_llm_only,symbolic,,,,,,,fluid_dynamics_bernoulli_equation.json
fluid_dynamics_hagen_poiseuille,fluid_dynamics,System_2_Symbolic,True,0.9999999999999978,((r * 392.6991) * (r * (r * (dP * r)))) / L,90.4,251.59551811218262,hybrid_pysr_refined,symbolic,,,,,,,fluid_dynamics_hagen_poiseuille.json
fluid_dynamics_reynolds_number,fluid_dynamics,System_3_LLM_Fallback,True,1.0,rho * v * L / mu,91.0,7.584288835525513,hybrid_llm_only,symbolic,,,,,,,fluid_dynamics_reynolds_number.json
mathematics_compound_interest,mathematics,System_3_LLM_Fallback,True,1.0,P * (1 + r/n)**(n*t),90.4,7.793169260025024,hybrid_llm_only,symbolic,,,,,,,mathematics_compound_interest.json
mathematics_pythagorean_theorem,mathematics,System_3_LLM_Fallback,True,1.0,(a**2 + b**2)**0.5,100.0,8.54295301437378,hybrid_llm_only,symbolic,,,,,,,mathematics_pythagorean_theorem.json
mathematics_quadratic_discriminant,mathematics,System_3_LLM_Fallback,True,1.0,b**2 - 4*a*c,99.4,6.457944631576538,hybrid_llm_only,symbolic,,,,,,,mathematics_quadratic_discriminant.json
mechanics_gravitational_potential_energy,mechanics,System_3_LLM_Fallback,True,1.0,m * g * h,100.0,7.663923025131226,hybrid_llm_only,symbolic,,,,,,,mechanics_gravitational_potential_energy.json
mechanics_hookes_law,mechanics,System_2_Symbolic,True,0.9995132471079953,(k * ((-46.92452 / (14.331252 - ((-5.924416 / x) / x))) + (-0.29695144 - (x * x)))) * -0.27974826,65.0,288.48373007774353,hybrid_pysr_refined,symbolic,,,,,,,mechanics_hookes_law.json
mechanics_kinetic_energy,mechanics,System_3_LLM_Fallback,True,1.0,0.5 * m * v**2,100.0,40.8989098072052,hybrid_llm_only,symbolic,,,,,,,mechanics_kinetic_energy.json
optics_single_slit_diffraction,optics,System_3_LLM_Fallback,True,1.0,wavelength / a,99.1,10.339111089706421,hybrid_llm_only,symbolic,,,,,,,optics_single_slit_diffraction.json
optics_snells_law,optics,System_3_LLM_Fallback,True,1.0,n1 * sin_theta1,100.0,10.706828832626343,hybrid_llm_only,symbolic,,,,,,,optics_snells_law.json
optics_thin_lens_equation,optics,System_2_Symbolic,True,1.0,((0.06644153 - (-1.0 / do)) + (1.0 / di)) + -0.06644153,89.5,274.4954535961151,hybrid_pysr_refined,symbolic,,,,,,,optics_thin_lens_equation.json
quantum_compton_shift,quantum,System_2_Symbolic,True,1.0,100.1 - cos_theta,100.0,658.8842885494232,hybrid_pysr_refined,symbolic,,,,,,,quantum_compton_shift.json
quantum_de_broglie_wavelength,quantum,System_2_Symbolic,True,0.9999999999999813,((22.857344 / ((v + 1.2356794) / 5.915747)) - 1.2356794) - ((h / (((v * -0.81418616) / ((-1.0026957 / v) + 0.41008928)) + 0.37460303)) * -0.00036725195),86.5,657.8819918632507,hybrid_pysr_refined,symbolic,,,,,,,quantum_de_broglie_wavelength.json
quantum_photon_energy,quantum,System_2_Symbolic,True,1.0,f,100.0,243.4451620578766,hybrid_pysr_refined,symbolic,,,,,,,quantum_photon_energy.json
thermodynamics_carnot_efficiency,thermodynamics,System_3_LLM_Fallback,True,1.0,1 - Tc/Th,98.5,9.478864908218384,hybrid_llm_only,symbolic,,,,,,,thermodynamics_carnot_efficiency.json
thermodynamics_heat_capacity,thermodynamics,System_3_LLM_Fallback,True,1.0,m * c * dT,100.0,8.17402458190918,hybrid_llm_only,symbolic,,,,,,,thermodynamics_heat_capacity.json
thermodynamics_ideal_gas_law,thermodynamics,System_3_LLM_Fallback,True,1.0,n * R * T / V,91.0,11.279600858688354,hybrid_llm_only,symbolic,,,,,,,thermodynamics_ideal_gas_law.json
